Group;z_score
Negative;-0.189121595624977
Negative;0.230360495109051
Negative;0.0640334702407274
Negative;-0.191642006182391
Negative;1.11713806557834
Negative;0.801396638369484
Negative;-0.26950638213089
Negative;0.520214658323418
Negative;0.349973932828354
Negative;0.190369069522342
Negative;0.956494846945765
Negative;-0.384439864849106
Negative;-0.301722091517594
Negative;0.520982398386754
Negative;-0.0858070384644061
Negative;-0.0613930272226075
Negative;-0.340627043287043
Negative;0.108387371348467
Negative;0.284101978316797
Negative;-0.137607498595385
Negative;0.250488103121205
Negative;-0.301722091517594
Negative;0.14821512708114
Negative;0.243449643564505
Negative;-0.144593248067747
Negative;0.193677956348861
Negative;0.177337113530568
Negative;-0.419616976642508
Negative;0.0835123434432018
Negative;0.0865109401469199
Negative;-0.2841712756332
Negative;1.11755835941722
Negative;0.0419475310656029
Negative;-0.231809519972723
Negative;0.245102281691509
Negative;-0.317463199643154
Negative;0.604334792371615
Negative;-0.244861837283652
Negative;0.0913942921197002
Negative;-0.418136275439159
Negative;0.0560396456258321
Negative;0.167832374438184
Negative;0.107179281737186
Negative;0.109674783790809
Negative;0.733437829770743
Negative;0.0820749213998997
Negative;-0.0820008966454666
Negative;-0.471023094181618
Negative;0.0154171888728674
Negative;-0.0440149171275816
Negative;0.0309442531635775
Negative;-0.217447178494369
Negative;0.119490909584902
Negative;-0.219271188741227
Negative;0.0469031925836268
Negative;-0.0588761734139666
Negative;0.0854061865375254
Negative;-0.150517315242309
Negative;0.618381067784374
Negative;0.138035605439566
Negative;0.244237896682086
Negative;-0.155425185034924
Negative;0.337165478493268
Negative;-0.0752278222608266
Negative;-0.0937121936106185
Negative;-0.196107345097339
Negative;0.422501145153111
Negative;0.0733750467071036
Negative;-0.230879970310642
Negative;0.393786672187909
Negative;-0.079693161175774
Negative;-0.155425185034924
Negative;0.179823326828752
Negative;-0.135104255208485
Negative;-0.131181028683851
Negative;-0.162144063952141
Negative;0.0439087981754477
Negative;0.552631337335009
Negative;0.131117312759187
Negative;-0.11496583088527
Negative;-0.0497662785127758
Negative;-0.368977296672746
Negative;0.0488926581606792
Negative;-0.399924246407751
Negative;-0.156927699620559
Negative;-0.313341017075239
Negative;0.046962509936932
Negative;-0.383366395336723
Negative;0.220003368583537
Negative;0.134751334662295
Negative;-0.242008414367436
Negative;-0.131207258205366
Negative;-0.201435535161272
Negative;-0.197255033941886
Negative;0.367897201540879
Negative;0.382315471329605
Negative;0.0459782152393308
Negative;-0.00506541016639911
Negative;0.23625572747014
Negative;-0.399924246407751
Negative;-0.0250291341403486
Negative;-0.23363957515392
Negative;-0.278558247873706
Negative;-0.457041227208607
Negative;0.238941366200281
Negative;-0.219271188741227
Negative;-0.0899292210323214
Negative;0.290602535164664
Negative;-0.155425185034924
Negative;-0.370457997876095
Negative;-0.0435298754049844
Negative;-0.222701102441359
Negative;0.124593311140978
Negative;-0.2841712756332
Negative;-0.242415646058402
Negative;-0.0392812786814616
Negative;0.538405281422074
Negative;-0.23363957515392
Negative;-0.151998016445659
Negative;-0.166954867389199
Negative;-0.0974612879469364
Negative;-0.176522594353064
Negative;0.0948421729602491
