gene
IFITM3
IFI6
MT.ND3
MT.ND5
LY6E
IFI44L
APOBEC3A
EPSTI1
LGALS3BP
IFITM1
GBP1
SIGLEC1
XAF1
SERPING1
IFI44
STAT1
IFI27
CCL2
ISG15
C15orf48
TIMP1
STARD4
HBEGF
PARP14
HLA.DQA2
H1F0
ZFP36L1
GBP5
PLAC8
MX1
LDHA
MARCKS
WARS
VEGFA
XIST
FBP1
IFIT3
PLIN2
CTSL
DDIT4
THBS1
HERPUD1
SGK1
ARL4C
CXCL2
SERPINB2
CCL3
OLR1
FTH1
DSE
HMGA1
SRC
PSME2
CLEC5A
RASGEF1B
DHRS3
MARCKSL1
INSIG1
CALR
CD9
OASL
TGM2
HAVCR2
AHNAK
SKIL
C3AR1
FFAR2
TRIM22
SMAP2
DNASE2
IER3
IRS2
CDC42EP3
EIF2AK2
CPVL
ALOX5AP
SDC2
NRIP1
RGCC
HSP90B1
CD83
PHLDA1
STK38L
ICAM1
OAS3
RGS1
CCL4
MT2A
DUSP2
EREG
CXCL3
CCL3L1
CCL7
CXCL8
CCL20
CCL4L2
IL1B
G0S2
ATF3
TNFAIP3
TNF
